SYNMAP,synform,synLPh,synLT,Koeppen,AREAkm2
37,Shrubs,-,-,Cwb,272381.0989
37,Shrubs,-,-,Cwc,85.16355261
37,Shrubs,-,-,Dfa,1045.491057
37,Shrubs,-,-,Dfb,5799.137802
37,Shrubs,-,-,Dfc,1159856.962
37,Shrubs,-,-,Dfd,51211.09594
37,Shrubs,-,-,Dsb,4451.121225
37,Shrubs,-,-,Dsc,18331.65317
37,Shrubs,-,-,Dwa,2736.964337
37,Shrubs,-,-,Dwb,3349.569428
37,Shrubs,-,-,Dwc,4799.222796
37,Shrubs,-,-,Dwd,3456.018304
37,Shrubs,-,-,ET,192162.4604
38,Shrubs & Grasses,-,-,Af,2032.059438
38,Shrubs & Grasses,-,-,Am,31503.28077
38,Shrubs & Grasses,-,-,As,96879.55521
38,Shrubs & Grasses,-,-,Aw,270598.7299
38,Shrubs & Grasses,-,-,BSh,2445402.757
38,Shrubs & Grasses,-,-,BSk,2125414.06
38,Shrubs & Grasses,-,-,BWh,3878303.186
38,Shrubs & Grasses,-,-,BWk,475220.6254
38,Shrubs & Grasses,-,-,Cfa,81341.73367
38,Shrubs & Grasses,-,-,Cfb,247036.1124
38,Shrubs & Grasses,-,-,Cfc,58640.24508
38,Shrubs & Grasses,-,-,Csa,181665.1576
38,Shrubs & Grasses,-,-,Csb,264562.2252
38,Shrubs & Grasses,-,-,Csc,8584.150975
38,Shrubs & Grasses,-,-,Cwa,36466.86513
38,Shrubs & Grasses,-,-,Cwb,99568.4759
38,Shrubs & Grasses,-,-,Cwc,8527.952284
38,Shrubs & Grasses,-,-,Dfa,21721.34725
38,Shrubs & Grasses,-,-,Dfb,226001.7918
38,Shrubs & Grasses,-,-,Dfc,2566293.839
38,Shrubs & Grasses,-,-,Dfd,502629.5647
38,Shrubs & Grasses,-,-,Dsa,54192.65896
38,Shrubs & Grasses,-,-,Dsb,164033.4726
38,Shrubs & Grasses,-,-,Dsc,72993.09608
38,Shrubs & Grasses,-,-,Dwa,12734.20077
38,Shrubs & Grasses,-,-,Dwb,22794.28964
38,Shrubs & Grasses,-,-,Dwc,205481.0036
38,Shrubs & Grasses,-,-,Dwd,79865.30031
38,Shrubs & Grasses,-,-,ET,2051233.139
39,Shrubs & Crops,-,-,Am,3270.253234
39,Shrubs & Crops,-,-,As,25906.13413
39,Shrubs & Crops,-,-,Aw,409062.2259
39,Shrubs & Crops,-,-,BSh,120733.3108
39,Shrubs & Crops,-,-,BSk,42859.76852
39,Shrubs & Crops,-,-,BWh,29256.19225
39,Shrubs & Crops,-,-,BWk,9058.491619
39,Shrubs & Crops,-,-,Cfa,68784.69995
39,Shrubs & Crops,-,-,Cfb,61327.93459
39,Shrubs & Crops,-,-,Cfc,656.5585312
39,Shrubs & Crops,-,-,Csa,86767.30054
39,Shrubs & Crops,-,-,Csb,23777.46058
39,Shrubs & Crops,-,-,Cwa,87313.02671
39,Shrubs & Crops,-,-,Cwb,26209.7631
39,Shrubs & Crops,-,-,Dfa,1192.872906
39,Shrubs & Crops,-,-,Dfb,47088.24964
39,Shrubs & Crops,-,-,Dfc,8179.80605
39,Shrubs & Crops,-,-,Dsa,3148.788033
