"response","fixed","random","Age.filter","equation","significant"
"BNPP_root_fine","leaf.type","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 1.34 + leaf.type x 1.27",TRUE
"BNPP_root_coarse","leaf.type","geographic.area/plot.name",">=100 yrs","BNPP_root_coarse = 0.64 + leaf.type x -0.24",TRUE
"R_auto","leaf.type","geographic.area/plot.name",">=100 yrs","R_auto = 8.41 + leaf.type x 7.56",TRUE
"R_eco","leaf.type","geographic.area/plot.name",">=100 yrs","R_eco = 9.98 + leaf.type x 11.71",TRUE
"R_soil","leaf.type","geographic.area/plot.name",">=100 yrs","R_soil = 8.55 + leaf.type x 3.59",TRUE
"R_soil_het","leaf.type","geographic.area/plot.name",">=100 yrs","R_soil_het = 3.95 + leaf.type x 3.1",TRUE
"NEE","leaf.phenology","geographic.area/plot.name",">=100 yrs","NEE = 0.43 + leaf.phenology x 0.3",FALSE
"GPP","leaf.phenology","geographic.area/plot.name",">=100 yrs","GPP = 21 + leaf.phenology x -5.58",FALSE
"NPP","leaf.phenology","geographic.area/plot.name",">=100 yrs","NPP = 6.72 + leaf.phenology x -0.71",FALSE
"ANPP","leaf.phenology","geographic.area/plot.name",">=100 yrs","ANPP = 4.07 + leaf.phenology x -0.15",FALSE
"ANPP_woody","leaf.phenology","geographic.area/plot.name",">=100 yrs","ANPP_woody = 2.48 + leaf.phenology x -0.24",FALSE
"ANPP_foliage","leaf.phenology","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 2.4 + leaf.phenology x -0.62",FALSE
"ANPP_woody_branch","leaf.phenology","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.71 + leaf.phenology x 0.26",FALSE
"ANPP_woody_stem","leaf.phenology","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 2.66 + leaf.phenology x -0.92",TRUE
"NPP_woody","leaf.phenology","geographic.area/plot.name",">=100 yrs","NPP_woody = 3.95 + leaf.phenology x -1.97",FALSE
"NPP_understory","leaf.phenology","geographic.area/plot.name",">=100 yrs","NPP_understory = 0.39 + leaf.phenology x -0.02",FALSE
"ANPP_litterfall","leaf.phenology","geographic.area/plot.name",">=100 yrs","ANPP_litterfall = 3.63 + leaf.phenology x 0.37",FALSE
"ANPP_repro","leaf.phenology","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.33 + leaf.phenology x 0.11",FALSE
"BNPP_root","leaf.phenology","geographic.area/plot.name",">=100 yrs","BNPP_root = 2.3 + leaf.phenology x -0.62",FALSE
"BNPP_root_fine","leaf.phenology","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 2.38 + leaf.phenology x -1.01",TRUE
"BNPP_root_coarse","leaf.phenology","geographic.area/plot.name",">=100 yrs","BNPP_root_coarse = 0.54 + leaf.phenology x -0.14",FALSE
"R_auto","leaf.phenology","geographic.area/plot.name",">=100 yrs","R_auto = 14.41 + leaf.phenology x -6.69",FALSE
"R_eco","leaf.phenology","geographic.area/plot.name",">=100 yrs","R_eco = 18.18 + leaf.phenology x -7.26",FALSE
"R_soil","leaf.phenology","geographic.area/plot.name",">=100 yrs","R_soil = 11.2 + leaf.phenology x -5.79",TRUE
"R_soil_het","leaf.phenology","geographic.area/plot.name",">=100 yrs","R_soil_het = 5.92 + leaf.phenology x -2.82",FALSE
"NEE","mat","geographic.area/plot.name",">=100 yrs","NEE = -0.58 + mat x 0.19  + age x 0.01 + 0  x interaction",TRUE
"GPP","mat","geographic.area/plot.name",">=100 yrs","GPP = 7.09 + mat x 0.59  + age x 0.01",TRUE
"NPP","mat","geographic.area/plot.name",">=100 yrs","NPP = 4.49 + mat x 0.22",TRUE
"ANPP","mat","geographic.area/plot.name",">=100 yrs","ANPP = 3.35 + mat x 0.3  + age x 0",TRUE
"ANPP_woody","mat","geographic.area/plot.name",">=100 yrs","ANPP_woody = 1.97 + mat x 0.14  + age x 0",TRUE
"ANPP_foliage","mat","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 1.02 + mat x 0.06  + age x 0 + 0  x interaction",TRUE
"ANPP_woody_branch","mat","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.64 + mat x 0.02",TRUE
"ANPP_woody_stem","mat","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 2.2 + mat x 0.04  + age x 0 + 0  x interaction",TRUE
"NPP_woody","mat","geographic.area/plot.name",">=100 yrs","NPP_woody = 4.03 + mat x 0.02  + age x 0",FALSE
"NPP_understory","mat","geographic.area/plot.name",">=100 yrs","NPP_understory = 0.95 + mat x -0.06",TRUE
"ANPP_litterfall","mat","geographic.area/plot.name",">=100 yrs","ANPP_litterfall = 1.35 + mat x 0.1",TRUE
"ANPP_repro","mat","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.68 + mat x -0.03  + age x 0 + 0  x interaction",TRUE
"BNPP_root","mat","geographic.area/plot.name",">=100 yrs","BNPP_root = 1.36 + mat x 0.04  + age x 0",TRUE
"BNPP_root_fine","mat","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 1.3 + mat x 0  + age x 0",FALSE
