"response","fixed","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"GPP","AnnualPET","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.0004898,83,0.4178,0.9659,21.12
"NPP","AnnualPET","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.005895,51,0.2812,0.8488,17.47
"BNPP_root","AnnualPET","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.005742,67,0.2181,0.7393,16.91
"GPP","VapourPressure","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,7.447e-10,83,0.7794,0.9711,3.718
"NPP","VapourPressure","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,2.017e-05,51,0.4713,0.7991,0.9895
"BNPP_root","VapourPressure","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.000476,67,0.2798,0.6772,0.05654
"GPP","Aridity","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.001715,83,0.2606,0.968,25.95
"NPP","Aridity","geographic.area/plot.name","age.greater.than.200","mod.poly",FALSE,0.1273,51,0.06095,0.7845,22.84
"BNPP_root","Aridity","geographic.area/plot.name","age.greater.than.200","mod.poly",FALSE,0.1926,67,0.03714,0.7043,24.99
"GPP","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.0002259,83,0.3265,0.9634,30.54
"NPP","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.0004956,51,0.3566,0.8297,18.67
"BNPP_root","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.0008246,67,0.2514,0.6932,19.9
"GPP","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.0003175,83,0.3846,0.9671,19.42
"NPP","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.002859,51,0.2237,0.7958,3.81
"BNPP_root","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.0272,67,0.1239,0.6453,2.136
"ANPP","mat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,7.169e-09,137,0.2628,0.9085,10.77
"ANPP_foliage","mat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.489e-12,82,0.6008,0.8824,9.12
"ANPP_woody","mat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0006019,44,0.374,0.844,8.454
"ANPP","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.009385,150,0.06237,0.8852,27.46
"ANPP_foliage","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.013e-08,130,0.352,0.8237,49.59
"ANPP_woody","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.388e-05,44,0.4543,0.8631,36.49
"ANPP","lat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,8.245e-08,176,0.2392,0.8922,12.8
"ANPP_foliage","lat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.315e-13,155,0.5091,0.8131,11.5
"ANPP_woody","lat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.01464,63,0.2104,0.6443,11.91
"ANPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.307e-07,175,0.2054,0.8896,11.11
"ANPP_foliage","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.859e-16,155,0.5593,0.8327,9.494
"ANPP_woody","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.002123,63,0.2767,0.644,9.519
"ANPP","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.724e-06,175,0.1776,0.8853,14.44
"ANPP_foliage","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,6.343e-13,155,0.5059,0.8143,14.74
"ANPP_woody","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.003918,63,0.2711,0.6452,12.65
"ANPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,8.637e-06,175,0.1569,0.8813,11.25
"ANPP_foliage","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.413e-13,155,0.5271,0.7986,12
"ANPP_woody","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0034,63,0.2729,0.6391,9.783
"ANPP","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,6.893e-05,175,0.1123,0.8792,20.85
"ANPP_foliage","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.133e-07,155,0.2676,0.7618,25.04
"ANPP_woody","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.006531,63,0.2053,0.5146,17.87
"ANPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.958e-06,176,0.1944,0.8865,15.35
"ANPP_foliage","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.906e-15,155,0.5345,0.8028,13.68
"ANPP_woody","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.003617,63,0.2617,0.6326,13.6
"ANPP","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.002589,176,0.08222,0.8884,18.98
"ANPP_foliage","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.305e-07,155,0.3073,0.8189,16.45
"ANPP_woody","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.008072,63,0.1968,0.6163,17.73
"ANPP","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.028e-10,176,0.2736,0.8927,7.195
"ANPP_foliage","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.905e-16,155,0.5469,0.8271,7.519
"ANPP_woody","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.008156,63,0.1974,0.6197,0.03433
"ANPP","Aridity","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.01426,174,0.0342,0.8707,30.24
"ANPP_foliage","Aridity","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0008446,155,0.09963,0.7811,23.69
"ANPP_woody","Aridity","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.03357,63,0.1357,0.5027,22.98
"ANPP","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.00152,174,0.1446,0.9056,26.99
"ANPP_foliage","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.534e-10,155,0.4116,0.8352,20.55
"ANPP_woody","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.001532,63,0.2863,0.652,17.57
"ANPP","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0001264,176,0.13,0.9029,22.48
"ANPP_foliage","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.649e-10,155,0.3625,0.8302,11.61
"ANPP_woody","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0003906,63,0.3065,0.6397,3.583
"ANPP","mat","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,6.552e-08,134,0.2285,0.9036,10.21
"ANPP_foliage","mat","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,3.061e-08,62,0.4893,0.8296,8.364
"ANPP_woody","mat","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.01173,34,0.2698,0.8068,7.789
"ANPP","map","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.0328,147,0.04411,0.8821,25.64
"ANPP_foliage","map","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.0005996,109,0.1804,0.7409,32.6
"ANPP_woody","map","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.0009429,34,0.331,0.8292,28.74
"ANPP","lat","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,1.329e-07,165,0.2286,0.8935,12.5
"ANPP_foliage","lat","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,1.998e-09,125,0.415,0.7172,10.86
"ANPP_woody","lat","geographic.area/plot.name","age.greater.than.200","mod.poly",FALSE,0.1273,45,0.1352,0.6827,10.61
"ANPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,6.948e-07,164,0.1926,0.8934,11.06
"ANPP_foliage","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,1.723e-11,125,0.4692,0.7406,8.756
"ANPP_woody","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.0329,45,0.1925,0.6753,8.471
"ANPP","TempSeasonality","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,7.923e-06,164,0.1586,0.8881,13.69
"ANPP_foliage","TempSeasonality","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,7.531e-08,125,0.3684,0.7158,12.48
"ANPP_woody","TempSeasonality","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.0498,45,0.1847,0.6789,11.59
"ANPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,1.598e-05,164,0.1434,0.886,11.16
"ANPP_foliage","TempRangeAnnual","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,9.915e-09,125,0.4072,0.6965,9.662
"ANPP_woody","TempRangeAnnual","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.03356,45,0.2019,0.6738,8.819
"ANPP","AnnualPre","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,8.867e-05,164,0.1166,0.8844,20.81
"ANPP_foliage","AnnualPre","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.0007734,125,0.1209,0.6646,22.01
"ANPP_woody","AnnualPre","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.01851,45,0.1868,0.5594,16.98
"ANPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,6.709e-06,165,0.1831,0.8903,14.88
"ANPP_foliage","AnnualFrostDays","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,5.229e-10,125,0.4377,0.6933,12.93
"ANPP_woody","AnnualFrostDays","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.02217,45,0.2211,0.6808,12.83
"ANPP","AnnualPET","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.007445,165,0.06971,0.8909,18.85
"ANPP_foliage","AnnualPET","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,9.917e-05,125,0.2048,0.7254,16.01
"ANPP_woody","AnnualPET","geographic.area/plot.name","age.greater.than.200","mod.poly",FALSE,0.0899,45,0.1226,0.6564,16.45
"ANPP","VapourPressure","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,8.412e-10,165,0.2781,0.8969,7.075
"ANPP_foliage","VapourPressure","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,7.981e-12,125,0.483,0.7332,6.041
"ANPP_woody","VapourPressure","geographic.area/plot.name","age.greater.than.200","mod.linear",TRUE,0.01407,45,0.169,0.6529,0.142
"ANPP","Aridity","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.0118,163,0.03591,0.8694,30.29
"ANPP_foliage","Aridity","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.02975,125,0.05106,0.6571,24.45
"ANPP_woody","Aridity","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.01768,45,0.1839,0.5999,21.36
"ANPP","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.008204,163,0.1225,0.9083,25.34
"ANPP_foliage","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,2.654e-07,125,0.3088,0.7428,17.54
"ANPP_woody","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.200","mod.poly",FALSE,0.0568,45,0.1658,0.6782,16.11
"ANPP","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.0003387,165,0.1227,0.9066,20.63
"ANPP_foliage","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,4.98e-07,125,0.2468,0.7371,6.869
"ANPP_woody","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.200","mod.poly",TRUE,0.03882,45,0.1413,0.6692,1.1
