"response","fixed","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"ANPP_1","lat","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,3.36678690219507e-10,122,0.3951,0.8499,3.093
"ANPP_foliage","lat","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,9.49302959754458e-11,95,0.5156,0.8364,0.4606
"ANPP_repro","lat","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.000917602226488753,33,0.3999,0.93,2.26
"ANPP_1","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,2.87995184217337e-06,122,0.257,0.8278,0.3028
"ANPP_foliage","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,7.89968431260437e-13,95,0.5645,0.8161,1.951
"ANPP_repro","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.000557763088550217,33,0.4164,0.924,2.647
"ANPP_1","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,4.04851149850063e-08,122,0.3089,0.8372,1.071
"ANPP_foliage","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,9.22957032694054e-10,95,0.4798,0.8411,0.1949
"ANPP_repro","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.000687513087939792,33,0.4033,0.9156,2.999
"ANPP_1","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,1.28030924068745e-09,122,0.3533,0.8557,3.219
"ANPP_foliage","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,1.81490093764479e-09,95,0.4825,0.8385,1.435
"ANPP_repro","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.000605786930955303,33,0.4167,0.9075,2.003
"ANPP_1","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,5.9282327383244e-09,122,0.4009,0.8737,12.33
"ANPP_foliage","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,5.71925796864007e-09,95,0.4309,0.8628,20.18
"ANPP_repro","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.00101334469315971,33,0.4039,0.932,1.409
"ANPP_1","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,3.52473274652867e-09,122,0.3866,0.8534,4.543
"ANPP_foliage","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,7.10469220698824e-11,95,0.5267,0.8305,1.955
"ANPP_repro","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.000213059144659655,33,0.434,0.9354,3.229
"ANPP_1","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,1.71306564095842e-08,122,0.3464,0.815,1.154
"ANPP_foliage","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,1.13604664879352e-08,95,0.3729,0.8501,2.33
"ANPP_repro","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,8.53427746161497e-05,33,0.4039,0.9365,2.393
"ANPP_1","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,2.10214388132221e-06,122,0.2727,0.8274,0.6526
"ANPP_foliage","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,3.1610570188934e-11,95,0.5341,0.8132,0.6811
"ANPP_repro","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.000801618285129391,33,0.418,0.9296,1.687
