"response","fixed1","fixed2","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"ANPP_1","TempSeasonality","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,6.505e-12,149,0.4213,0.8599,0.2338
"ANPP_foliage","TempSeasonality","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,9.291e-13,128,0.5039,0.8652,0.5047
"ANPP_1","TempSeasonality","Aridity","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,6.505e-12,149,0.4213,0.8599,0.2338
"ANPP_foliage","TempSeasonality","Aridity","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,9.291e-13,128,0.5039,0.8652,0.5047
"ANPP_1","TempSeasonality","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,6.505e-12,149,0.4213,0.8599,0.2338
"ANPP_foliage","TempSeasonality","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,9.291e-13,128,0.5039,0.8652,0.5047
"ANPP_1","TempSeasonality","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,6.505e-12,149,0.4213,0.8599,0.03552
"ANPP_foliage","TempSeasonality","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.238e-12,128,0.5263,0.8503,0.4127
"ANPP_1","TempRangeAnnual","mat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,9.85e-13,117,0.5381,0.8996,4.063
"ANPP_foliage","TempRangeAnnual","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.419e-13,92,0.6259,0.8672,1.825
"ANPP_1","TempRangeAnnual","map","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,2.441e-12,117,0.4939,0.9087,4.574
"ANPP_foliage","TempRangeAnnual","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.404e-11,98,0.5803,0.8426,0.8806
"ANPP_1","TempRangeAnnual","lat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.655e-14,149,0.5026,0.8824,7.276
"ANPP_foliage","TempRangeAnnual","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.801e-14,128,0.576,0.8675,1.444
"ANPP_1","TempRangeAnnual","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,9.32e-13,149,0.4375,0.8798,2.284
"ANPP_foliage","TempRangeAnnual","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.709e-13,128,0.5667,0.848,0.4756
"ANPP_1","TempRangeAnnual","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,4.265e-13,149,0.4718,0.8819,3.458
"ANPP_foliage","TempRangeAnnual","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,5.917e-12,128,0.527,0.8692,1.355
"ANPP_1","TempRangeAnnual","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.324e-12,149,0.4682,0.8814,1.087
"ANPP_foliage","TempRangeAnnual","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,5.835e-12,128,0.489,0.8663,1.021
"ANPP_1","TempRangeAnnual","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.139e-13,149,0.5024,0.8732,2.796
"ANPP_foliage","TempRangeAnnual","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.798e-14,128,0.5827,0.8593,0.9146
"ANPP_1","TempRangeAnnual","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,9.32e-13,149,0.4375,0.8798,3.477
"ANPP_foliage","TempRangeAnnual","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,5.835e-12,128,0.489,0.8663,2.369
"ANPP_1","TempRangeAnnual","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,9.32e-13,149,0.4375,0.8798,3.42
"ANPP_foliage","TempRangeAnnual","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.599e-13,128,0.5679,0.8464,0.01484
"ANPP_1","TempRangeAnnual","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,9.32e-13,149,0.4375,0.8798,3.935
"ANPP_foliage","TempRangeAnnual","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,5.835e-12,128,0.489,0.8663,0.0786
"ANPP_1","TempRangeAnnual","Aridity","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.666e-12,149,0.4714,0.8821,0.6056
"ANPP_foliage","TempRangeAnnual","Aridity","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,5.835e-12,128,0.489,0.8663,2.369
"ANPP_1","TempRangeAnnual","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,9.32e-13,149,0.4375,0.8798,3.312
"ANPP_foliage","TempRangeAnnual","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,5.835e-12,128,0.489,0.8663,0.1146
"ANPP_1","TempRangeAnnual","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,9.32e-13,149,0.4375,0.8798,3.455
"ANPP_foliage","TempRangeAnnual","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.278e-13,128,0.5555,0.8443,0.6932
"ANPP_1","AnnualPre","mat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,8.317e-12,117,0.5172,0.8873,0.6936
"ANPP_foliage","AnnualPre","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.159e-13,92,0.6266,0.8687,2.295
"ANPP_1","AnnualPre","map","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.803e-08,117,0.3614,0.8841,0.05918
"ANPP_foliage","AnnualPre","map","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,4.951e-08,98,0.4478,0.8552,7.023
"ANPP_1","AnnualPre","lat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.33e-12,149,0.4682,0.8649,1.978
"ANPP_foliage","AnnualPre","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.922e-13,128,0.5329,0.8614,1.81
"ANPP_1","AnnualPre","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.908e-09,149,0.4049,0.8507,6.382
"ANPP_foliage","AnnualPre","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.078e-14,128,0.5647,0.8479,2.255
"ANPP_1","AnnualPre","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.569e-11,149,0.4509,0.8603,4.428
"ANPP_foliage","AnnualPre","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.732e-12,128,0.5209,0.8567,2.288
"ANPP_1","AnnualPre","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,7.568e-11,149,0.4426,0.8543,7.294
"ANPP_foliage","AnnualPre","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.914e-11,128,0.5119,0.8442,1.818
"ANPP_1","AnnualPre","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.77e-10,149,0.4,0.8566,3.828
"ANPP_foliage","AnnualPre","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.395e-10,128,0.4333,0.8545,1.88
"ANPP_1","AnnualPre","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.569e-08,149,0.3666,0.859,1.894
"ANPP_foliage","AnnualPre","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,5.046e-07,128,0.3156,0.8559,0.5283
"ANPP_1","AnnualPre","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,7.667e-09,149,0.3884,0.8458,3.423
"ANPP_foliage","AnnualPre","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.078e-13,128,0.547,0.837,1.774
"ANPP_1","AnnualPre","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.346e-08,149,0.3486,0.8527,2.222
"ANPP_foliage","AnnualPre","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,5.585e-08,128,0.3695,0.864,0.3035
"ANPP_1","AnnualPre","Aridity","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,2.283e-08,149,0.3033,0.8546,2.164
"ANPP_foliage","AnnualPre","Aridity","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,5.359e-07,128,0.3893,0.8334,0.5737
"ANPP_1","AnnualPre","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.533e-08,149,0.3424,0.8492,0.8702
"ANPP_foliage","AnnualPre","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.757e-09,128,0.3841,0.8442,0.4656
"ANPP_1","AnnualPre","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,2.283e-08,149,0.3033,0.8546,0.4456
"ANPP_foliage","AnnualPre","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.516e-10,128,0.3953,0.819,0.4326
"ANPP_1","AnnualPET","mat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.603e-13,117,0.5781,0.8609,2.44
"ANPP_foliage","AnnualPET","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.074e-14,92,0.6633,0.8734,1.084
"ANPP_1","AnnualPET","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.536e-11,117,0.4232,0.8944,1.507
"ANPP_foliage","AnnualPET","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.311e-10,98,0.4584,0.8913,2.426
"ANPP_1","AnnualPET","lat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.306e-14,149,0.5269,0.8415,5.651
"ANPP_foliage","AnnualPET","lat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,3.257e-14,128,0.5581,0.8669,2.651
"ANPP_1","AnnualPET","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,4.013e-13,149,0.4944,0.8373,9.434
"ANPP_foliage","AnnualPET","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.692e-15,128,0.6074,0.8627,4.984
"ANPP_1","AnnualPET","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,3.12e-14,149,0.5297,0.8401,5.576
"ANPP_foliage","AnnualPET","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,8.982e-15,128,0.5845,0.8731,4.496
"ANPP_1","AnnualPET","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,7.036e-14,149,0.5275,0.8419,3.801
"ANPP_foliage","AnnualPET","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,5.718e-15,128,0.5988,0.8729,5.238
"ANPP_1","AnnualPET","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.65e-11,149,0.3852,0.8411,2.364
"ANPP_foliage","AnnualPET","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.091e-10,128,0.4253,0.8664,1.088
"ANPP_1","AnnualPET","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.65e-11,149,0.3852,0.8411,1.284
"ANPP_foliage","AnnualPET","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.684e-10,128,0.4039,0.878,0.9464
"ANPP_1","AnnualPET","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.818e-12,149,0.4759,0.832,6.272
"ANPP_foliage","AnnualPET","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.394e-14,128,0.5803,0.8644,7.114
"ANPP_1","AnnualPET","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,5.702e-13,149,0.4814,0.8368,6.782
"ANPP_foliage","AnnualPET","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.119e-11,128,0.4528,0.8608,2.01
"ANPP_1","AnnualPET","Aridity","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.65e-11,149,0.3852,0.8411,2.994
"ANPP_foliage","AnnualPET","Aridity","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.354e-10,128,0.3564,0.8719,0.9889
"ANPP_1","AnnualPET","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,4.112e-14,149,0.5237,0.8354,14.19
"ANPP_foliage","AnnualPET","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,5.384e-12,128,0.4769,0.865,5.188
"ANPP_1","AnnualPET","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,8.148e-13,149,0.4854,0.8285,7.952
"ANPP_foliage","AnnualPET","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,6.839e-12,128,0.4652,0.8604,5.873
"ANPP_1","AnnualWetDays","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.419e-13,117,0.5356,0.8891,0.7007
"ANPP_foliage","AnnualWetDays","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.026e-13,92,0.6296,0.8613,2.409
"ANPP_1","AnnualWetDays","map","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.398e-08,117,0.3622,0.9583,10.06
"ANPP_foliage","AnnualWetDays","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.567e-05,98,0.223,0.8864,1.332
"ANPP_1","AnnualWetDays","lat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.513e-13,149,0.4692,0.8834,5.597
"ANPP_foliage","AnnualWetDays","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.336e-13,128,0.5295,0.8623,2.248
"ANPP_1","AnnualWetDays","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.318e-09,149,0.3861,0.8761,4.902
"ANPP_foliage","AnnualWetDays","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.727e-13,128,0.5643,0.8478,2.303
"ANPP_1","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.207e-12,149,0.4644,0.8819,6.641
"ANPP_foliage","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.469e-11,128,0.5112,0.8541,2.083
"ANPP_1","AnnualWetDays","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.08e-11,149,0.4385,0.8764,7.551
"ANPP_foliage","AnnualWetDays","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.722e-10,128,0.498,0.845,1.413
"ANPP_1","AnnualWetDays","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,6.509e-09,149,0.339,0.8769,9.528
"ANPP_foliage","AnnualWetDays","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.246e-06,128,0.2739,0.8353,0.01317
"ANPP_1","AnnualWetDays","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.224e-09,149,0.3525,0.8763,3.311
"ANPP_foliage","AnnualWetDays","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.995e-09,128,0.3892,0.8667,2.315
"ANPP_1","AnnualWetDays","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.838e-08,149,0.3491,0.8773,5.13
"ANPP_foliage","AnnualWetDays","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.146e-12,128,0.5233,0.8433,2.2
"ANPP_1","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,7.708e-09,149,0.3307,0.8866,7.312
"ANPP_foliage","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.329e-08,128,0.3793,0.8758,1.601
"ANPP_1","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,6.007e-07,149,0.2425,0.8809,2.603
"ANPP_foliage","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,0.0002301,128,0.1893,0.8749,0.09752
"ANPP_1","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,3.507e-08,149,0.2865,0.8836,8.721
"ANPP_foliage","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.313e-10,128,0.4193,0.8652,2.093
"ANPP_1","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,3.722e-07,149,0.2341,0.8791,3.639
"ANPP_foliage","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.251e-11,128,0.4165,0.8314,1.332
"ANPP_1","VapourPressure","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.678e-12,117,0.4906,0.8865,0.494
"ANPP_foliage","VapourPressure","mat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.678e-13,92,0.6176,0.8385,0.04742
"ANPP_1","VapourPressure","map","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,3.527e-08,117,0.3969,0.8946,0.676
"ANPP_foliage","VapourPressure","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,6.524e-14,98,0.6394,0.848,2.052
"ANPP_1","VapourPressure","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.767e-15,149,0.4642,0.8816,0.7886
"ANPP_foliage","VapourPressure","lat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.761e-13,128,0.5392,0.8448,0.4731
"ANPP_1","VapourPressure","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.435e-09,149,0.4159,0.8602,7.127
"ANPP_foliage","VapourPressure","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.131e-13,128,0.5583,0.848,2.193
"ANPP_1","VapourPressure","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.629e-11,149,0.4348,0.8771,2.083
"ANPP_foliage","VapourPressure","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.16e-13,128,0.5693,0.8487,2.305
"ANPP_1","VapourPressure","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,8.106e-10,149,0.4298,0.8693,2.704
"ANPP_foliage","VapourPressure","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.599e-13,128,0.5679,0.8464,2.274
"ANPP_1","VapourPressure","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,4.225e-08,149,0.3466,0.867,0.7661
"ANPP_foliage","VapourPressure","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.078e-13,128,0.547,0.837,1.925
"ANPP_1","VapourPressure","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,7.72e-10,149,0.4124,0.864,0.6621
"ANPP_foliage","VapourPressure","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.936e-13,128,0.5587,0.8505,2.023
"ANPP_1","VapourPressure","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,4.225e-08,149,0.3466,0.867,0.7661
"ANPP_foliage","VapourPressure","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.761e-13,128,0.5392,0.8448,1.027
"ANPP_1","VapourPressure","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.356e-10,149,0.4206,0.8734,2.119
"ANPP_foliage","VapourPressure","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.761e-13,128,0.5392,0.8448,0.96
"ANPP_1","VapourPressure","Aridity","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,6.777e-08,149,0.3814,0.8602,0.02299
"ANPP_foliage","VapourPressure","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.29e-13,128,0.5581,0.8391,0.8082
"ANPP_1","VapourPressure","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,7.265e-11,149,0.4746,0.866,1.405
"ANPP_foliage","VapourPressure","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.761e-13,128,0.5392,0.8448,0.0248
"ANPP_1","VapourPressure","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.316e-09,149,0.4304,0.8676,1.714
"ANPP_foliage","VapourPressure","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.761e-13,128,0.5392,0.8448,1.027
"ANPP_1","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.457e-12,117,0.5185,0.8731,0.7589
"ANPP_foliage","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.043e-13,92,0.6577,0.8679,0.5578
"ANPP_1","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,8.639e-09,117,0.3421,0.8826,7.774
"ANPP_foliage","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.425e-07,98,0.3596,0.8763,0.5856
"ANPP_1","SolarRadiation","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.219e-12,149,0.4449,0.8584,1.62
"ANPP_foliage","SolarRadiation","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.112e-12,128,0.5166,0.8598,1.568
"ANPP_1","SolarRadiation","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.763e-10,149,0.3774,0.8445,2.263
"ANPP_foliage","SolarRadiation","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.084e-14,128,0.5644,0.8492,2.193
"ANPP_1","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.314e-11,149,0.4093,0.851,1.842
"ANPP_foliage","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.448e-12,128,0.5091,0.8589,2.293
"ANPP_1","SolarRadiation","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.928e-10,149,0.3895,0.8485,1.997
"ANPP_foliage","SolarRadiation","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.58e-12,128,0.5072,0.8576,2.277
"ANPP_1","SolarRadiation","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.882e-09,149,0.2951,0.8598,6.799
"ANPP_foliage","SolarRadiation","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.503e-08,128,0.3263,0.8406,2.209
"ANPP_1","SolarRadiation","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.037e-11,149,0.4276,0.8547,1.91
"ANPP_foliage","SolarRadiation","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.122e-11,128,0.4509,0.8567,2.252
"ANPP_1","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.882e-09,149,0.2951,0.8598,6.68
"ANPP_foliage","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.329e-08,128,0.3793,0.8758,1.962
"ANPP_1","SolarRadiation","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.894e-10,149,0.3772,0.8439,1.749
"ANPP_foliage","SolarRadiation","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.246e-12,128,0.5185,0.8436,2.232
"ANPP_1","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.882e-09,149,0.2951,0.8598,6.799
"ANPP_foliage","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.212e-07,128,0.2964,0.8607,0.8673
"ANPP_1","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.265e-10,149,0.3354,0.8603,2.249
"ANPP_foliage","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.533e-09,128,0.3388,0.8555,2.308
"ANPP_1","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.807e-09,149,0.3135,0.8506,1.513
"ANPP_foliage","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.213e-08,128,0.3212,0.8427,2.181
"ANPP_1","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.134e-13,117,0.5282,0.8832,4.745
"ANPP_foliage","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.134e-13,92,0.6229,0.8677,2.23
"ANPP_1","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.049e-08,117,0.2222,0.8752,3.317
"ANPP_foliage","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.0003418,98,0.2158,0.8951,3.667
"ANPP_1","Aridity","lat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,4.708e-15,149,0.4762,0.8654,13.47
"ANPP_foliage","Aridity","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.838e-14,128,0.5518,0.8658,1.872
"ANPP_1","Aridity","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.746e-12,149,0.4234,0.8521,19.17
"ANPP_foliage","Aridity","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.992e-14,128,0.5735,0.8489,1.793
"ANPP_1","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.156e-13,149,0.4378,0.858,13.48
"ANPP_foliage","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.749e-12,128,0.5113,0.8603,2.253
"ANPP_1","Aridity","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.321e-12,149,0.4212,0.8551,15.14
"ANPP_foliage","Aridity","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.5e-11,128,0.4886,0.8473,1.741
"ANPP_1","Aridity","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.968e-09,149,0.2814,0.8467,3.477
