"response","fixed1","fixed2","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"NPP","map","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.048e-09,81,0.4377,0.8897,21.76
"BNPP_root","map","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.929e-05,93,0.3472,0.8519,3.123
"BNPP_root_fine","map","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01088,80,0.1301,0.3917,0.8226
"GPP","lat","mat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.972e-15,279,0.6982,0.8985,8.88
"NPP","lat","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.262e-09,82,0.5245,0.8459,1.143
"BNPP_root","lat","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.508e-07,90,0.4118,0.7708,1.521
"BNPP_root_fine","lat","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.006247,81,0.1596,0.3238,0.1229
"GPP","lat","map","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,4.8e-14,279,0.6418,0.9033,2.008
"NPP","lat","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.012e-09,81,0.5232,0.843,1.956
"BNPP_root","lat","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,6.195e-09,93,0.4536,0.7875,1.071
"BNPP_root_fine","lat","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.006835,80,0.1591,0.327,0.1568
"GPP","lat","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,3.919e-14,303,0.6135,0.896,8.983
"NPP","lat","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.183e-09,95,0.4958,0.8241,1.576
"BNPP_root","lat","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.528e-09,108,0.44,0.7765,0.809
"BNPP_root_fine","lat","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001879,93,0.1821,0.3499,0.9044
"GPP","lat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.966e-15,303,0.6368,0.8942,1.67
"NPP","lat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.144e-10,95,0.5832,0.8267,2.212
"BNPP_root","lat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.239e-09,108,0.4985,0.7931,2.211
"BNPP_root_fine","lat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001879,93,0.1821,0.3499,0.9044
"GPP","lat","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.21e-15,303,0.6255,0.8955,0.9662
"NPP","lat","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.48e-10,95,0.6134,0.8291,2.127
"BNPP_root","lat","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.045e-10,108,0.5087,0.8051,2.275
"BNPP_root_fine","lat","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001879,93,0.1821,0.3499,0.9044
"GPP","lat","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.067e-12,303,0.5435,0.8987,0.7409
"NPP","lat","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.183e-09,95,0.4958,0.8241,1.931
"BNPP_root","lat","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.528e-09,108,0.44,0.7765,0.809
"BNPP_root_fine","lat","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001879,93,0.1821,0.3499,0.9044
"GPP","lat","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.067e-12,303,0.5435,0.8987,2.354
"NPP","lat","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.183e-09,95,0.4958,0.8241,1.331
"BNPP_root","lat","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.528e-09,108,0.44,0.7765,0.809
"BNPP_root_fine","lat","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001879,93,0.1821,0.3499,0.9044
"GPP","lat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.067e-12,303,0.5435,0.8987,2.354
"NPP","lat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.183e-09,95,0.4958,0.8241,1.931
"BNPP_root","lat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.528e-09,108,0.44,0.7765,0.809
"BNPP_root_fine","lat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001879,93,0.1821,0.3499,0.9044
"GPP","lat","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,6.13e-13,303,0.5796,0.8967,2.018
"NPP","lat","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.183e-09,95,0.4958,0.8241,1.931
"BNPP_root","lat","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.741e-09,108,0.4786,0.7972,0.5691
"BNPP_root_fine","lat","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0005501,93,0.2753,0.4534,2.407
"GPP","lat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.067e-12,303,0.5435,0.8987,2.354
"NPP","lat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.183e-09,95,0.4958,0.8241,1.931
"BNPP_root","lat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.528e-09,108,0.44,0.7765,0.809
