"response","fixed","random","equation","Age.filter","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c"
"ANPP_woody","map","geographic.area/plot.name","ANPP_woody = 0.22 + map x 0.97 + ( map ^2) x -2.49","age.greater.than.200",TRUE,0.002891,33,0.2461,0.8287
"ANPP","lat","geographic.area/plot.name","ANPP = 0.19 + lat x -6.35 + ( lat ^2) x 0.66","age.greater.than.200",TRUE,6.217e-07,162,0.2099,0.8921
"ANPP_foliage","lat","geographic.area/plot.name","ANPP_foliage = 0.05 + lat x -6.84 + ( lat ^2) x -0.65","age.greater.than.200",TRUE,3.012e-08,123,0.3787,0.7037
"ANPP_woody","lat","geographic.area/plot.name","ANPP_woody = 0.17 + lat x -1.81 + ( lat ^2) x -0.31","age.greater.than.200",FALSE,0.3529,44,0.07002,0.6752
"ANPP","AnnualMeanTemp","geographic.area/plot.name","ANPP = 0.12 + AnnualMeanTemp x 5.29 + ( AnnualMeanTemp ^2) x 1.69","age.greater.than.200",TRUE,1.683e-06,161,0.1749,0.8925
"ANPP_foliage","AnnualMeanTemp","geographic.area/plot.name","ANPP_foliage = 0 + AnnualMeanTemp x 7.38 + ( AnnualMeanTemp ^2) x -0.33","age.greater.than.200",TRUE,2.834e-10,123,0.4388,0.7304
"ANPP_woody","AnnualMeanTemp","geographic.area/plot.name","ANPP_woody = 0.13 + AnnualMeanTemp x 2.41 + ( AnnualMeanTemp ^2) x 0.24","age.greater.than.200",FALSE,0.101,44,0.1267,0.666
"ANPP","TempSeasonality","geographic.area/plot.name","ANPP = 0.19 + TempSeasonality x -5.08 + ( TempSeasonality ^2) x 0.3","age.greater.than.200",TRUE,3.446e-05,161,0.1409,0.8865
"ANPP_foliage","TempSeasonality","geographic.area/plot.name","ANPP_foliage = 0.04 + TempSeasonality x -6.4 + ( TempSeasonality ^2) x 0.85","age.greater.than.200",TRUE,1.063e-06,123,0.3301,0.7029
"ANPP_woody","TempSeasonality","geographic.area/plot.name","ANPP_woody = 0.16 + TempSeasonality x -2.11 + ( TempSeasonality ^2) x -0.41","age.greater.than.200",FALSE,0.2349,44,0.09649,0.674
"ANPP","TempRangeAnnual","geographic.area/plot.name","ANPP = 0.2 + TempRangeAnnual x -4.66 + ( TempRangeAnnual ^2) x -1.5","age.greater.than.200",TRUE,2.726e-05,161,0.1313,0.8877
"ANPP_foliage","TempRangeAnnual","geographic.area/plot.name","ANPP_foliage = 0.03 + TempRangeAnnual x -6.78 + ( TempRangeAnnual ^2) x 0.51","age.greater.than.200",TRUE,1.489e-07,123,0.3716,0.6836
"ANPP_woody","TempRangeAnnual","geographic.area/plot.name","ANPP_woody = 0.15 + TempRangeAnnual x -2.31 + ( TempRangeAnnual ^2) x -0.28","age.greater.than.200",FALSE,0.1586,44,0.1148,0.6646
"ANPP","AnnualPre","geographic.area/plot.name","ANPP = 0.18 + AnnualPre x 4.52 + ( AnnualPre ^2) x 0.57","age.greater.than.200",TRUE,0.0001941,161,0.1137,0.8842
"ANPP_foliage","AnnualPre","geographic.area/plot.name","ANPP_foliage = 0.05 + AnnualPre x 2.73 + ( AnnualPre ^2) x -1.87","age.greater.than.200",TRUE,0.00288,123,0.09503,0.6636
"ANPP_woody","AnnualPre","geographic.area/plot.name","ANPP_woody = 0.1 + AnnualPre x 2.42 + ( AnnualPre ^2) x 0.65","age.greater.than.200",TRUE,0.03799,44,0.1548,0.5811
"ANPP","AnnualFrostDays","geographic.area/plot.name","ANPP = 0.17 + AnnualFrostDays x -5.42 + ( AnnualFrostDays ^2) x 0.47","age.greater.than.200",TRUE,2.439e-05,162,0.1634,0.8873
"ANPP_foliage","AnnualFrostDays","geographic.area/plot.name","ANPP_foliage = 0 + AnnualFrostDays x -6.99 + ( AnnualFrostDays ^2) x 0.19","age.greater.than.200",TRUE,8.051e-09,123,0.4034,0.6791
"ANPP_woody","AnnualFrostDays","geographic.area/plot.name","ANPP_woody = 0.14 + AnnualFrostDays x -2.65 + ( AnnualFrostDays ^2) x -0.25","age.greater.than.200",FALSE,0.07802,44,0.1514,0.6708
"ANPP","AnnualPET","geographic.area/plot.name","ANPP = 0.23 + AnnualPET x 3.03 + ( AnnualPET ^2) x -0.2","age.greater.than.200",TRUE,0.03197,162,0.04975,0.8888
"ANPP_foliage","AnnualPET","geographic.area/plot.name","ANPP_foliage = 0.11 + AnnualPET x 4.63 + ( AnnualPET ^2) x 0.09","age.greater.than.200",TRUE,0.0005058,123,0.1721,0.7124
"ANPP_woody","AnnualPET","geographic.area/plot.name","ANPP_woody = 0.18 + AnnualPET x 1.47 + ( AnnualPET ^2) x -1.21","age.greater.than.200",FALSE,0.1883,44,0.0802,0.6448
"ANPP","VapourPressure","geographic.area/plot.name","ANPP = 0.07 + VapourPressure x 6.52 + ( VapourPressure ^2) x 2.56","age.greater.than.200",TRUE,1.603e-09,162,0.2727,0.8941
"ANPP_foliage","VapourPressure","geographic.area/plot.name","ANPP_foliage = 0 + VapourPressure x 7.16 + ( VapourPressure ^2) x -2.15","age.greater.than.200",TRUE,1.246e-10,123,0.4519,0.7212
"ANPP_woody","VapourPressure","geographic.area/plot.name","ANPP_woody = 0.05 + VapourPressure x 2.62 + ( VapourPressure ^2) x 1.54","age.greater.than.200",TRUE,0.04498,44,0.1972,0.667
