"response","fixed","random","Age.filter","equation","significant","additive","interactive","Rsq.R2m","Rsq.R2c"
"ANPP_1","TempSeasonality","geographic.area/plot.name",">=100 yrs","ANPP_1 = 6.63 + TempSeasonality x -0.02  + age x -1.27",TRUE,TRUE,FALSE,0.3709,0.9835
"ANPP_foliage","TempSeasonality","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 3.23 + TempSeasonality x -0.02  + age x -0.41",TRUE,TRUE,FALSE,0.5675,0.9876
"ANPP_repro","TempSeasonality","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.41 + TempSeasonality x 0  + age x -0.17",FALSE,TRUE,FALSE,0.3729,0.9965
"ANPP_1","TempRangeAnnual","geographic.area/plot.name",">=100 yrs","ANPP_1 = 8.19 + TempRangeAnnual x -0.14  + age x -2.66 + 0.09  x interaction",TRUE,FALSE,TRUE,0.3699,0.9854
"ANPP_foliage","TempRangeAnnual","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 3.76 + TempRangeAnnual x -0.06  + age x -0.31",TRUE,TRUE,FALSE,0.5566,0.9865
"ANPP_repro","TempRangeAnnual","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.53 + TempRangeAnnual x -0.01  + age x -0.3 + 0.01  x interaction",TRUE,FALSE,TRUE,0.4173,0.9963
"ANPP_1","AnnualPre","geographic.area/plot.name",">=100 yrs","ANPP_1 = 4.27 + AnnualPre x 0  + age x -0.45 + 0  x interaction",TRUE,FALSE,TRUE,0.3597,0.9856
"ANPP_foliage","AnnualPre","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 1.3 + AnnualPre x 0",TRUE,FALSE,FALSE,0.2108,0.9871
"ANPP_repro","AnnualPre","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.37 + AnnualPre x 0  + age x -0.18",FALSE,TRUE,FALSE,0.3832,0.9972
"ANPP_1","AnnualFrostDays","geographic.area/plot.name",">=100 yrs","ANPP_1 = 6.62 + AnnualFrostDays x -0.02  + age x -1.51 + 0.01  x interaction",TRUE,FALSE,TRUE,0.4151,0.9862
"ANPP_foliage","AnnualFrostDays","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 3.18 + AnnualFrostDays x -0.01  + age x -0.48 + 0  x interaction",TRUE,FALSE,TRUE,0.6308,0.9889
"ANPP_repro","AnnualFrostDays","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.41 + AnnualFrostDays x 0  + age x -0.16",TRUE,TRUE,FALSE,0.3996,0.9969
"ANPP_1","AnnualPET","geographic.area/plot.name",">=100 yrs","ANPP_1 = 2.38 + AnnualPET x 0  + age x 0.06 + 0  x interaction",TRUE,FALSE,TRUE,0.4767,0.9848
"ANPP_foliage","AnnualPET","geographic.area/plot.name",">=100 yrs","ANPP_foliage = -0.4 + AnnualPET x 0  + age x 0.55 + 0  x interaction",TRUE,FALSE,TRUE,0.4911,0.9899
"ANPP_repro","AnnualPET","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.09 + AnnualPET x 0  + age x -0.18",TRUE,TRUE,FALSE,0.3861,0.9974
"ANPP_1","VapourPressure","geographic.area/plot.name",">=100 yrs","ANPP_1 = 4.34 + VapourPressure x 7.66  + age x -0.94",TRUE,TRUE,FALSE,0.3662,0.9858
"ANPP_foliage","VapourPressure","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 0.56 + VapourPressure x 9.16  + age x -0.25 + 2.93  x interaction",TRUE,FALSE,TRUE,0.6634,0.9878
"ANPP_repro","VapourPressure","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.32 + VapourPressure x 0.33  + age x -0.17",FALSE,TRUE,FALSE,0.3962,0.9971
"ANPP_1","Aridity","geographic.area/plot.name",">=100 yrs","ANPP_1 = 4.21 + Aridity x 0  + age x -0.19 + 0  x interaction",TRUE,FALSE,TRUE,0.2335,0.9848
"ANPP_foliage","Aridity","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 1.76 + Aridity x 0  + age x -0.29",TRUE,TRUE,FALSE,0.1391,0.9893
"ANPP_repro","Aridity","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.53 + Aridity x 0  + age x -0.41 + 0  x interaction",TRUE,FALSE,TRUE,0.3819,0.9976
"ANPP_1","PotentialEvapotranspiration","geographic.area/plot.name",">=100 yrs","ANPP_1 = 6.6 + PotentialEvapotranspiration x 0  + age x -2.81 + 0  x interaction",TRUE,FALSE,TRUE,0.2649,0.9881
"ANPP_foliage","PotentialEvapotranspiration","geographic.area/plot.name",">=100 yrs","ANPP_foliage = -0.46 + PotentialEvapotranspiration x 0  + age x -0.41",TRUE,TRUE,FALSE,0.5058,0.9887
