"response","fixed","random","Age.filter","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c"
"ANPP_repro","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",FALSE,0.08061,66,0.08279,0.4796
"ANPP_1","AnnualPET","geographic.area/plot.name","age.greater.than.100",TRUE,0.002589,176,0.08484,0.8858
"ANPP_foliage","AnnualPET","geographic.area/plot.name","age.greater.than.100",TRUE,1.305e-07,155,0.316,0.816
"ANPP_repro","AnnualPET","geographic.area/plot.name","age.greater.than.100",FALSE,0.6349,66,0.02981,0.5655
"ANPP_1","VapourPressure","geographic.area/plot.name","age.greater.than.100",TRUE,5.468e-10,176,0.2775,0.8972
"ANPP_foliage","VapourPressure","geographic.area/plot.name","age.greater.than.100",TRUE,4.905e-16,155,0.5569,0.8251
"ANPP_repro","VapourPressure","geographic.area/plot.name","age.greater.than.100",FALSE,0.1043,66,0.1036,0.4587
"ANPP_1","Aridity","geographic.area/plot.name","age.greater.than.100",TRUE,0.01426,174,0.03585,0.8677
"ANPP_foliage","Aridity","geographic.area/plot.name","age.greater.than.100",TRUE,0.0008446,155,0.1037,0.7771
"ANPP_repro","Aridity","geographic.area/plot.name","age.greater.than.100",FALSE,0.5077,66,0.03,0.4694
"ANPP_1","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100",TRUE,0.00152,174,0.1452,0.9026
"ANPP_foliage","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100",TRUE,1.534e-10,155,0.4235,0.8333
"ANPP_repro","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100",FALSE,0.2226,66,0.07017,0.4922
"ANPP_1","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100",TRUE,0.0001264,176,0.1324,0.9007
"ANPP_foliage","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100",TRUE,1.649e-10,155,0.3718,0.8291
"ANPP_repro","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100",TRUE,0.02955,66,0.1154,0.5908
"ANPP_woody","mat","geographic.area/plot.name","age.greater.than.100",TRUE,0.0006019,44,0.4086,0.8317
"ANPP_woody_stem","mat","geographic.area/plot.name","age.greater.than.100",TRUE,2.216e-12,274,0.2309,0.8943
"ANPP_woody_branch","mat","geographic.area/plot.name","age.greater.than.100",TRUE,0.02235,47,0.1947,0.7026
"ANPP_woody","map","geographic.area/plot.name","age.greater.than.100",TRUE,2.388e-05,44,0.4778,0.8661
"ANPP_woody_stem","map","geographic.area/plot.name","age.greater.than.100",TRUE,0.0001473,289,0.05296,0.8702
"ANPP_woody_branch","map","geographic.area/plot.name","age.greater.than.100",FALSE,0.2457,51,0.07333,0.5832
"ANPP_woody","lat","geographic.area/plot.name","age.greater.than.100",TRUE,0.01464,63,0.2237,0.6174
"ANPP_woody_stem","lat","geographic.area/plot.name","age.greater.than.100",TRUE,9.32e-07,317,0.1284,0.8591
"ANPP_woody_branch","lat","geographic.area/plot.name","age.greater.than.100",TRUE,0.00267,78,0.2034,0.6661
"ANPP_woody","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",TRUE,0.002123,63,0.292,0.621
"ANPP_woody_stem","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",TRUE,2.511e-09,316,0.1823,0.8565
"ANPP_woody_branch","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",TRUE,0.000527,78,0.2428,0.6238
"ANPP_woody","TempSeasonality","geographic.area/plot.name","age.greater.than.100",TRUE,0.003918,63,0.2861,0.6202
"ANPP_woody_stem","TempSeasonality","geographic.area/plot.name","age.greater.than.100",TRUE,3.389e-05,316,0.08907,0.8544
